C-SDB_TIT-0;C-W96-0;C-SDB_BBTR-0;F-ANK;F-UEB
197405;W96-2;81;1540;2212
197405;W96-2;73;171;2620
197405;W96-2;83;24;24
197405;W96-2;84;1842;20763
197405;W96-2;60;9946;78388
197405;W96-2;74;274;3756
197405;W96-2;999;262;1680
197405;W96-3;01;9152;28349
197405;W96-3;02;17147;63795
197405;W96-3;03;36881;158046
197405;W96-3;70;871;3827
197405;W96-3;81;1448;3487
197405;W96-3;73;678;7964
197405;W96-3;71;1159;24791
197405;W96-3;83;724;865
197405;W96-3;84;362;3941
197405;W96-3;60;6936;51720
197405;W96-3;75;190;8738
197405;W96-3;74;3966;58836
197405;W96-3;998;432;2470
197405;W96-3;999;613;4350
197405;W96-4;01;17138;62390
197405;W96-4;02;22531;78592
197405;W96-4;03;31166;171855
197405;W96-4;70;1590;3822
197405;W96-4;81;4353;13113
197405;W96-4;73;1170;9296
197405;W96-4;71;1851;46497
197405;W96-4;83;405;473
197405;W96-4;84;1548;6081
197405;W96-4;60;10204;85897
197405;W96-4;75;61;5138
197405;W96-4;72;638;14271
197405;W96-4;74;1002;13404
197405;W96-4;998;113;784
197405;W96-4;999;463;2562
197405;W96-5;01;34237;106220
197405;W96-5;02;56796;235603
197405;W96-5;03;43004;170762
197405;W96-5;70;2888;6675
197405;W96-5;81;7634;22508
197405;W96-5;73;1884;13375
197405;W96-5;71;1549;27073
197405;W96-5;83;935;1978
197405;W96-5;84;1299;12110
197405;W96-5;60;16489;113168
197405;W96-5;72;229;3740
197405;W96-5;74;250;3318
197405;W96-5;998;412;955
197405;W96-5;999;1539;7432
197405;W96-6;01;18348;40824
197405;W96-6;02;19319;76138
197405;W96-6;03;35037;167046
197405;W96-6;70;2143;3311
197405;W96-6;81;5001;16769
197405;W96-6;73;313;6774
197405;W96-6;71;596;13463
197405;W96-6;83;927;1025
197405;W96-6;84;2166;11297
197405;W96-6;60;10428;92338
197405;W96-6;75;271;8258
197405;W96-6;72;44;542
197405;W96-6;74;670;8829
197405;W96-6;998;295;2091
197405;W96-6;999;4223;29273
197405;W96-7;01;43947;101401
197405;W96-7;02;40780;128922
197405;W96-7;03;76113;337672
197405;W96-7;70;3018;6042
197405;W96-7;81;2621;4598
197405;W96-7;73;514;3330
197405;W96-7;71;62;2719
197405;W96-7;83;343;915
197405;W96-7;84;313;757
197405;W96-7;60;31935;231886
197405;W96-7;75;329;4048
197405;W96-7;74;158;2735
197405;W96-7;998;560;2728
197405;W96-7;999;601;5847
197405;W96-8;01;7731;18763
197405;W96-8;02;11044;29710
197405;W96-8;03;14212;51151
197405;W96-8;70;564;2115
197405;W96-8;81;2041;6451
197405;W96-8;73;411;7553
197405;W96-8;83;164;678
197405;W96-8;84;408;1392
197405;W96-8;60;7801;43883
197405;W96-8;75;158;8607
197405;W96-8;72;32;485
197405;W96-8;74;176;382
197405;W96-8;999;1283;8791
197405;W96-9;01;67348;179597
197405;W96-9;02;37701;105407
197405;W96-9;03;27775;74226
197405;W96-9;70;3831;9434
197405;W96-9;81;5328;23802
197405;W96-9;84;362;863
197405;W96-9;75;98;498
197406;W96-1;01;613;3934
197406;W96-1;02;5121;21437
197406;W96-1;03;8372;35790
197406;W96-1;70;12236;46877
197406;W96-1;81;1756;3452
197406;W96-1;71;255;7592
197406;W96-1;84;164;1226
197406;W96-1;60;3972;27778
197406;W96-1;74;221;2951
197406;W96-1;999;30;448
197406;W96-2;01;25883;137846
197406;W96-2;02;28082;198772
197406;W96-2;03;83126;686161
197406;W96-2;70;24372;152702
197406;W96-2;81;2096;2622
197406;W96-2;73;510;5473
197406;W96-2;83;364;509
197406;W96-2;84;6740;73936
197406;W96-2;60;41811;439106
197406;W96-2;74;1419;14554
197406;W96-2;999;721;4177
197406;W96-3;01;9031;29307
197406;W96-3;02;19318;82979
197406;W96-3;03;47636;244729
197406;W96-3;70;2460;7430
197406;W96-3;81;2278;4260
197406;W96-3;73;709;9567
197406;W96-3;71;968;24437
197406;W96-3;83;1024;1207
197406;W96-3;84;629;5530
197406;W96-3;60;11603;119199
197406;W96-3;75;222;8287
197406;W96-3;74;4491;63453
197406;W96-3;998;479;6605
197406;W96-3;999;1802;14450
197406;W96-4;01;17124;73933
197406;W96-4;02;25771;103103
197406;W96-4;03;47058;295857
197406;W96-4;70;5388;17238
197406;W96-4;81;5934;14975
197406;W96-4;73;1248;11109
197406;W96-4;71;1776;44427
197406;W96-4;83;695;1218
197406;W96-4;84;2051;6709
197406;W96-4;60;25124;240901
197406;W96-4;75;58;5077
197406;W96-4;72;581;13929
197406;W96-4;74;1745;17132
197406;W96-4;998;390;1960
197406;W96-4;999;833;5481
197406;W96-5;01;35681;146061
197406;W96-5;02;77240;424723
197406;W96-5;03;76565;407682
197406;W96-5;70;10246;25898
197406;W96-5;81;10501;30392
197406;W96-5;73;6174;37715
197406;W96-5;71;1295;22421
197406;W96-5;83;1273;1891
197406;W96-5;84;2398;26083
197406;W96-5;60;48113;427090
197406;W96-5;72;316;4139
197406;W96-5;74;341;3887
197406;W96-5;998;1225;3441
197406;W96-5;999;2658;13469
197406;W96-6;01;22874;55957
197406;W96-6;02;21106;107397
197406;W96-6;03;46690;269340
197406;W96-6;70;3597;8854
197406;W96-6;81;8056;17921
197406;W96-6;73;648;4616
197406;W96-6;71;612;13159
197406;W96-6;83;3477;5813
197406;W96-6;84;1946;12162
197406;W96-6;60;24567;261734
197406;W96-6;75;229;7472
197406;W96-6;72;45;894
197406;W96-6;74;649;7517
197406;W96-6;998;417;3005
197406;W96-6;999;2593;15389
197406;W96-7;01;59091;196916
197406;W96-7;02;62194;274831
197406;W96-7;03;158018;961070
197406;W96-7;70;14978;37846
197406;W96-7;81;3649;8709
197406;W96-7;73;872;7101
197406;W96-7;71;164;3046
197406;W96-7;83;1012;2309
197406;W96-7;84;733;6538
197406;W96-7;60;108638;982875
197406;W96-7;75;318;3685
197406;W96-7;74;146;2659
197406;W96-7;998;2261;16988
197406;W96-7;999;4099;15680
197406;W96-8;01;13221;43824
197406;W96-8;02;16236;60760
197406;W96-8;03;24742;129500
197406;W96-8;70;3343;11735
197406;W96-8;81;2729;13994
197406;W96-8;73;608;6891
197406;W96-8;83;159;161
197406;W96-8;84;923;4440
197406;W96-8;60;24765;182664
197406;W96-8;75;133;4912
197406;W96-8;72;35;410
197406;W96-8;74;197;1651
197406;W96-8;999;1605;10581
197406;W96-9;01;66714;176820
